Code,x,y
into-fuzhou,72216,1824
into-fuzhou,72152,1672
outside-culaore,60047,3254
outside-culaore,59507,3259
outside-culaore,59439,3401
outside-culaore,59357,3471
outside-culaore,58881,3565
outside-culaore,58477,3590
outside-culaore,57996,3683
outside-culaore,57631,3707
into-champa-north,55497,3779
into-champa-north,55046,3575
into-champa-north,54841,3531
into-champa-north,54631,3379
into-champa-north,54537,3218
into-champa-north,54547,3016
into-champa-north,54642,2775
into-champa-north,54811,2612
into-champa-north,54977,2490
into-champa-north,55198,2348
into-champa-north,55702,1822
into-champa-south,54020,3046
into-champa-south,54532,2812
into-champa-south,54628,2768
borneo-coast,52797,2932
borneo-coast,52405,3195
borneo-coast,52231,3282
borneo-coast,51957,3648
borneo-coast,51389,3938
borneo-coast,51223,3808
borneo-coast,50959,3738
borneo-coast,50883,3632
borneo-coast,50787,3392
borneo-coast,50539,3208
borneo-coast,50397,3140
borneo-coast,50007,2954
borneo-coast,49920,2890
borneo-coast,49087,2596
borneo-coast,48730,2386
borneo-coast,48390,2356
borneo-coast,48004,2558
borneo-coast,47794,2790
borneo-coast,47574,3236
borneo-coast,47358,3420
borneo-coast,47026,3470
borneo-coast,46538,3404
borneo-coast,45928,3024
borneo-coast,45536,2894
borneo-coast,45314,2954
borneo-coast,44931,3192
borneo-coast,44737,3252
borneo-coast,44563,3482
borneo-coast,44417,3540
borneo-coast,44303,3528
borneo-coast,44081,3348
into-vungtau,52785,2904
into-vungtau,52337,2728
into-vungtau,51929,2398
into-vungtau,51699,2092
into-vungtau,51153,1852
into-vungtau,50324,1994
into-vungtau,50064,2000
into-vungtau,49794,1916
into-vungtau,49656,1796
into-vungtau,49672,1642
into-vungtau,49898,1490
vietnam-pattani,,
vietnam-pattani,,
vietnam-pattani,,
vietnam-pattani,,
vietnam-pattani,,
scs-shortcut,52204,3258
scs-shortcut,51763,3338
scs-shortcut,51300,3202
scs-shortcut,51204,3066
scs-shortcut,51140,3046
scs-shortcut,50608,3082
scs-shortcut,50036,2894
scs-shortcut,49960,2890
gulf-thailand,50664,1967
gulf-thailand,50242,2191
gulf-thailand,49848,2263
gulf-thailand,49552,2219
gulf-thailand,49052,2305
gulf-thailand,48900,2317
gulf-thailand,48522,2239
gulf-thailand,48214,2250
gulf-thailand,47638,2272
gulf-thailand,47202,2108
gulf-thailand,46780,2048
gulf-thailand,46536,1970
gulf-thailand,46230,1717
gulf-thailand,46060,1653
gulf-thailand,45918,1657
gulf-thailand,45820,1685
gulf-thailand,45772,1408
gulf-thailand,45640,1278
gulf-thailand,45476,1222
gulf-thailand,45354,1200
gulf-thailand,45080,1200
gulf-thailand,44936,1156
gulf-thailand,44586,996
gulf-thailand,44494,988
gulf-thailand,44122,1002
gulf-thailand,43836,962
gulf-thailand,43608,845
gulf-thailand,43306,855
gulf-thailand,43074,903
gulf-thailand,42720,858
gulf-thailand,42540,878
gulf-thailand,42048,1208
gulf-thailand,41844,1264
gulf-thailand,41516,1244
saigon-bangkok,49647,1829
saigon-bangkok,49243,1765
saigon-bangkok,48975,1797
saigon-bangkok,48451,2021
saigon-bangkok,48095,2001
saigon-bangkok,47843,1821
saigon-bangkok,47691,1477
siam-java,47402,2230
siam-java,46210,2350
siam-java,45434,2118
siam-java,45154,2102
siam-java,44642,2214
siam-java,44354,2174
siam-java,43898,1750
siam-java,43530,1638
siam-java,43114,1710
siam-java,42474,1662
siam-java,42178,1750
siam-java,41986,1902
siam-java,41938,2150
siam-java,41914,2334
siam-java,42002,2510
siam-java,42234,2686
siam-java,42418,2734
siam-java,42658,2726
siam-java,42914,2638
siam-java,43026,2582
siam-java,43114,2470
siam-java,43530,2502
siam-java,43738,2470
siam-java,44218,2294
siam-java,44330,2262
siam-java,44722,2286
siam-java,44882,2374
siam-java,44970,2486
siam-java,44914,2886
siam-java,44746,3190
karimata,41810,1672
karimata,42410,1440
karimata,42618,1416
karimata,43074,1480
karimata,43338,1440
karimata,43770,1560
karimata,44178,1544
karimata,44834,1720
karimata,45306,1784
karimata,45586,1952
karimata,45714,2152
karimata,45714,2368
karimata,45674,2584
karimata,45386,2880
java-bangka,43835,2487
java-bangka,43595,2719
java-bangka,43107,2775
java-bangka,42971,2919
java-bangka,42627,2999
java-bangka,42291,2943
java-bangka,41803,2775
java-bangka,41411,2727
java-bangka,40867,2783
java-bangka,40764,2776
java-bangka,40384,2592
sunda,43375,2811
sunda,43135,2955
sunda,43087,3091
sunda,42895,3211
sunda,42687,3747
sunda,42455,3955
sunda,42111,4099
sunda,41719,4115
sunda,41575,4043
sumatra-west,40929,2806
sumatra-west,42057,3246
sumatra-west,42265,3438
sumatra-west,42273,3502
sumatra-west,42185,3806
sumatra-west,41569,4006
sumatra-west,41225,4062
sumatra-west,41017,4030
sumatra-west,40585,3894
sumatra-west,40393,3886
sumatra-west,40177,4038
sumatra-west,39553,4078
sumatra-west,39033,4062
sumatra-west,38881,4102
sumatra-west,38001,3934
sumatra-west,37745,3918
sumatra-west,37657,3870
sumatra-west,37049,4046
sumatra-west,36564,4006
sumatra-west,36380,3990
sumatra-west,35636,4086
sumatra-west,35076,3934
sumatra-west,34956,3830
sumatra-west,34708,3726
sumatra-west,34356,3726
sumatra-west,33692,3878
sumatra-west,33332,3846
sumatra-west,32948,3726
sumatra-west,32428,3678
sumatra-west,32412,3718
sumatra-west,31956,3790
sumatra-west,31612,3702
sumatra-west,31403,3728
sumatra-west,30963,3840
sumatra-west,30539,3808
sumatra-west,30131,3696
sumatra-west,29811,3520
sumatra-west,29283,3632
sumatra-west,28195,3544
sumatra-west,27059,3296
sumatra-west,26379,3472
sumatra-west,26067,3552
sumatra-west,25663,3496
sumatra-west,25031,3648
sumatra-west,24375,3488
sumatra-west,24327,3520
sumatra-west,23703,3616
sumatra-west,23335,3512
sumatra-west,22959,3528
sumatra-west,22679,3456
sumatra-west,22591,3376
sumatra-west,22415,3208
sumatra-west,22327,3128
sumatra-west,22263,2952
sumatra-west,22303,2576
sumatra-west,22335,2448
sumatra-west,22567,2216
sumatra-west,22973,1960
sumatra-lost-continent,22586,3399
sumatra-lost-continent,22338,3403
sumatra-lost-continent,22062,3495
sumatra-lost-continent,21906,3559
sumatra-lost-continent,21798,3747
sumatra-lost-continent,21754,3871
sumatra-lost-continent,21746,4187
sabang-lost-continent,22255,2597
sabang-lost-continent,21983,2853
sabang-lost-continent,21831,3053
sabang-lost-continent,21759,3221
sabang-lost-continent,21783,3677
kundur-channel,40338,2540
kundur-channel,39786,2704
kundur-channel,39514,2712
kundur-channel,39154,2608
kundur-channel,38574,2744
kundur-channel,37946,2644
kundur-channel,37762,2584
kundur-channel,37654,2672
kundur-channel,37494,2700
kundur-channel,37110,2916
kundur-channel,36754,2872
kundur-channel,36462,2948
kundur-channel,36250,2928
kundur-channel,36029,2868
kundur-channel,35585,2944
kundur-channel,35077,2868
kundur-channel,34997,2756
kundur-channel,34145,2608
kundur-channel,34141,2576
kundur-channel,33861,2520
kundur-channel,33521,2288
trengganu-pedra-branca,40326,889
trengganu-pedra-branca,40222,921
trengganu-pedra-branca,39694,881
trengganu-pedra-branca,38974,641
trengganu-pedra-branca,38486,641
trengganu-pedra-branca,38238,713
trengganu-pedra-branca,38102,785
trengganu-pedra-branca,37742,1113
trengganu-pedra-branca,37702,1273
sri-lanka-indus,16278,2011
sri-lanka-indus,16270,1595
sri-lanka-indus,16246,1419
sri-lanka-indus,16118,1195
sri-lanka-indus,16126,1107
sri-lanka-indus,16110,963
sri-lanka-indus,15910,579
sri-lanka-indus,15910,531
sri-lanka-indus,15822,219
sri-lanka-cuttack,16175,1318
sri-lanka-cuttack,16031,1270
sri-lanka-cuttack,15687,910
sri-lanka-cuttack,15319,766
sri-lanka-cuttack,14207,526
sri-lanka-cuttack,13415,422
sri-lanka-cuttack,13335,494
sri-lanka-cuttack,12655,614
sri-lanka-cuttack,12303,630
sri-lanka-cuttack,11799,686
sri-lanka-cuttack,11623,694
sri-lanka-cuttack,11207,598
sri-lanka-cuttack,11111,614
cuttack-indus,12961,525
cuttack-indus,13097,433
cuttack-indus,13357,329
cuttack-indus,13421,245
cuttack-indus,13717,349
cuttack-indus,14341,389
cuttack-indus,14649,333
